url,title,start_year,end_year,parent,status,broadcasting_duration
/wiki/Angry_Mom,Angry Mom,2015.0,2015.0,,completed,0.0
/wiki/Anna_(South_Korean_TV_series),Anna,2022.0,2022.0,,completed,0.0
/wiki/Another_Miss_Oh,Another Miss Oh,2016.0,2016.0,,completed,0.0
/wiki/Another_Peaceful_Day_of_Second-Hand_Items,Another Peaceful Day of Second-Hand Items,2020.0,2020.0,,completed,0.0
/wiki/Apgujeong_Midnight_Sun,Apgujeong Midnight Sun,2014.0,2015.0,,completed,1.0
/wiki/April_Kiss,April Kiss,2004.0,2004.0,,completed,0.0
/wiki/Arang_and_the_Magistrate,Arang and the Magistrate,2012.0,2012.0,,completed,0.0
/wiki/Are_You_Human%3F,Are You Human?,2018.0,2018.0,,completed,0.0
/wiki/Argon_(TV_series),Argon,2017.0,2017.0,,completed,0.0
/wiki/Arthdal_Chronicles,Arthdal Chronicles,2019.0,2019.0,,completed,0.0
/wiki/Artificial_City,Artificial City,2021.0,2021.0,,completed,0.0
/wiki/Ask_the_Stars,Ask the Stars,2023.0,2023.0,,completed,0.0
/wiki/Asphalt_Man,Asphalt Man,1995.0,1995.0,,completed,0.0
/wiki/Assembly_(TV_series),Assembly,2015.0,2015.0,,completed,0.0
/wiki/Assorted_Gems,Assorted Gems,2009.0,2010.0,,completed,1.0
/wiki/At_Eighteen,At Eighteen,2019.0,2019.0,,completed,0.0
"/wiki/At_a_Distance,_Spring_Is_Green","At a Distance, Spring Is Green",2021.0,2021.0,,completed,0.0
/wiki/Athena:_Goddess_of_War,Athena: Goddess of War,2010.0,2011.0,,completed,1.0
/wiki/Autumn_Shower,Autumn Shower,2005.0,2005.0,,completed,0.0
/wiki/Avengers_Social_Club,Avengers Social Club,2017.0,2017.0,,completed,0.0
/wiki/Awaken_(TV_series),Awaken,2020.0,2021.0,,completed,1.0
/wiki/Babel_(TV_series),Babel,2019.0,2019.0,,completed,0.0
/wiki/Baby_Faced_Beauty,Baby Faced Beauty,2011.0,2011.0,,completed,0.0
/wiki/Babysitter_(TV_series),Babysitter,2016.0,2016.0,,completed,0.0
/wiki/Bachelor%27s_Vegetable_Store,Bachelor's Vegetable Store,2011.0,2012.0,,completed,1.0
/wiki/Backstreet_Rookie,Backstreet Rookie,2020.0,2020.0,,completed,0.0
/wiki/Bad_and_Crazy,Bad and Crazy,2021.0,2021.0,,completed,0.0
/wiki/Bad_Family_(TV_series),Bad Family,2006.0,2006.0,,completed,0.0
/wiki/Bad_Guy_(TV_series),Bad Guy,2010.0,2010.0,,completed,0.0
/wiki/Bad_Guys_(TV_series),Bad Guys,2014.0,2014.0,,completed,0.0
/wiki/Bad_Guys_2,Bad Guys 2,2017.0,2018.0,,completed,1.0
/wiki/Bad_Housewife,Bad Housewife,2005.0,2005.0,,completed,0.0
/wiki/Bad_Papa,Bad Papa,2018.0,2018.0,,completed,0.0
/wiki/Bad_Prosecutor,Bad Prosecutor,2022.0,2022.0,,completed,0.0
"/wiki/Bad_Thief,_Good_Thief","Bad Thief, Good Thief",2017.0,2017.0,,completed,0.0
"/wiki/Bad_Woman,_Good_Woman","Bad Woman, Good Woman",2007.0,2007.0,,completed,0.0
/wiki/Ballad_of_Seodong,Ballad of Seodong,2005.0,2006.0,,completed,1.0
/wiki/Band_of_Sisters_(TV_series),Band of Sisters,2017.0,2017.0,,completed,0.0
/wiki/Banjun_Drama,Banjun Drama,2004.0,2006.0,,completed,2.0
/wiki/Basketball_(TV_series),Basketball,2013.0,2013.0,,completed,0.0
/wiki/Battle_for_Happiness,Battle for Happiness,2023.0,2023.0,,completed,0.0
/wiki/Be_Melodramatic,Be Melodramatic,2019.0,2019.0,,completed,0.0
/wiki/Be_My_Dream_Family,Be My Dream Family,2021.0,2021.0,,completed,0.0
